2025-06-19 07:29:45,678 | INFO     | build_historic_store | Starting historical Q&A database initialization...
2025-06-19 07:29:45,679 | INFO     | build_historic_store | Ensuring database directory exists at: /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data
2025-06-19 07:29:45,679 | INFO     | build_historic_store | Initializing database for Grade 11 at: historic_qa_data/grade11_historic.db
2025-06-19 07:29:45,687 | INFO     | build_historic_store | Database for Grade 11 initialized successfully.
2025-06-19 07:29:45,687 | DEBUG    | build_historic_store | 'qa_pairs' table verified in Grade 11 database.
2025-06-19 07:29:45,687 | INFO     | build_historic_store | Initializing database for Grade 12 at: historic_qa_data/grade12_historic.db
2025-06-19 07:29:45,688 | INFO     | build_historic_store | Database for Grade 12 initialized successfully.
2025-06-19 07:29:45,688 | DEBUG    | build_historic_store | 'qa_pairs' table verified in Grade 12 database.
2025-06-19 07:29:45,688 | INFO     | build_historic_store | Historical Q&A database initialization complete.
2025-06-19 07:39:41,538 | INFO     | build_historic_store | Starting historical Q&A database initialization...
2025-06-19 07:39:41,538 | INFO     | build_historic_store | Ensuring database directory exists at: /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data
2025-06-19 07:39:41,538 | INFO     | build_historic_store | Initializing database for Grade 11 at: historic_qa_data/grade11_historic.db
2025-06-19 07:39:41,545 | INFO     | build_historic_store | Database for Grade 11 initialized successfully.
2025-06-19 07:39:41,545 | DEBUG    | build_historic_store | 'qa_pairs' table verified in Grade 11 database.
2025-06-19 07:39:41,545 | INFO     | build_historic_store | Initializing database for Grade 12 at: historic_qa_data/grade12_historic.db
2025-06-19 07:39:41,546 | INFO     | build_historic_store | Database for Grade 12 initialized successfully.
2025-06-19 07:39:41,546 | DEBUG    | build_historic_store | 'qa_pairs' table verified in Grade 12 database.
2025-06-19 07:39:41,546 | INFO     | build_historic_store | Historical Q&A database initialization complete.
2025-06-19 07:53:37,255 | INFO     | build_historic_store | Starting historical Q&A database initialization...
2025-06-19 07:53:37,255 | INFO     | build_historic_store | Ensuring database directory exists at: /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data
2025-06-19 07:53:37,255 | INFO     | build_historic_store | Initializing database for Grade 11 at: historic_qa_data/grade11_historic.db
2025-06-19 07:53:37,263 | INFO     | build_historic_store | Database for Grade 11 initialized successfully.
2025-06-19 07:53:37,264 | DEBUG    | build_historic_store | 'qa_pairs' table verified in Grade 11 database.
2025-06-19 07:53:37,264 | INFO     | build_historic_store | Initializing database for Grade 12 at: historic_qa_data/grade12_historic.db
2025-06-19 07:53:37,265 | INFO     | build_historic_store | Database for Grade 12 initialized successfully.
2025-06-19 07:53:37,265 | DEBUG    | build_historic_store | 'qa_pairs' table verified in Grade 12 database.
2025-06-19 07:53:37,266 | INFO     | build_historic_store | Historical Q&A database initialization complete.
