2025-06-19 18:31:58,204 | DEBUG    | engine | Test DEBUG message
2025-06-19 18:31:58,204 | INFO     | engine | Test INFO message
2025-06-19 18:31:58,204 | WARNING  | engine | Test WARNING message
2025-06-19 18:31:58,204 | ERROR    | engine | Test ERROR message
2025-06-19 18:31:58,207 | INFO     | engine | Processing question for student student_g11
2025-06-19 18:31:58,207 | DEBUG    | engine | Original question: What is calculus?
2025-06-19 18:31:58,207 | DEBUG    | engine | History length: 0 words
2025-06-19 18:31:58,208 | INFO     | engine | Rephrased Question → Explain calculus in detail.
2025-06-19 18:31:58,208 | INFO     | engine | Detected topic: <MagicMock name='get_topic()' id='6302275904'>
2025-06-19 18:31:58,211 | ERROR    | engine | Error retrieving documents: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
2025-06-19 18:31:58,214 | INFO     | engine | Processing question for student student_g12
2025-06-19 18:31:58,214 | DEBUG    | engine | Original question: What is calculus?
2025-06-19 18:31:58,214 | DEBUG    | engine | History length: 0 words
2025-06-19 18:31:58,214 | INFO     | engine | Rephrased Question → Explain calculus for grade 12.
2025-06-19 18:31:58,215 | INFO     | engine | Detected topic: <MagicMock name='get_topic()' id='6302588592'>
2025-06-19 18:31:58,215 | ERROR    | engine | Error retrieving documents: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
2025-06-19 18:31:58,218 | INFO     | engine | Processing question for student student_g11
2025-06-19 18:31:58,219 | DEBUG    | engine | Original question: What is calculus?
2025-06-19 18:31:58,219 | DEBUG    | engine | History length: 0 words
2025-06-19 18:31:58,219 | INFO     | engine | Rephrased Question → A slightly different calculus question.
2025-06-19 18:31:58,219 | INFO     | engine | Detected topic: calculus_topic
2025-06-19 18:31:58,219 | ERROR    | engine | Error retrieving documents: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
2025-06-19 18:31:58,220 | INFO     | engine | Processing question for student student_g11
2025-06-19 18:31:58,221 | DEBUG    | engine | Original question: What is calculus?
2025-06-19 18:31:58,221 | DEBUG    | engine | History length: 0 words
2025-06-19 18:31:58,221 | INFO     | engine | Rephrased Question → A very unique calculus question.
2025-06-19 18:31:58,221 | INFO     | engine | Detected topic: calculus_unique
2025-06-19 18:31:58,221 | ERROR    | engine | Error retrieving documents: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
2025-06-19 18:31:58,222 | INFO     | engine | Processing question for student student_g11
2025-06-19 18:31:58,222 | DEBUG    | engine | Original question: What is calculus?
2025-06-19 18:31:58,222 | DEBUG    | engine | History length: 0 words
2025-06-19 18:31:58,222 | INFO     | engine | Rephrased Question → Calculus question for custom threshold.
2025-06-19 18:31:58,222 | INFO     | engine | Detected topic: <MagicMock name='get_topic()' id='6302887584'>
2025-06-19 18:31:58,223 | ERROR    | engine | Error retrieving documents: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
2025-06-19 18:31:58,224 | INFO     | engine | Processing question for student student_g11
2025-06-19 18:31:58,224 | DEBUG    | engine | Original question: What is calculus?
2025-06-19 18:31:58,224 | DEBUG    | engine | History length: 0 words
2025-06-19 18:31:58,224 | INFO     | engine | Rephrased Question → Calculus question for stricter threshold.
2025-06-19 18:31:58,224 | INFO     | engine | Detected topic: calculus_strict
2025-06-19 18:31:58,224 | ERROR    | engine | Error retrieving documents: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
2025-06-19 18:31:58,226 | INFO     | engine | Processing question for student student_g11
2025-06-19 18:31:58,226 | DEBUG    | engine | Original question: What is calculus?
2025-06-19 18:31:58,226 | DEBUG    | engine | History length: 0 words
2025-06-19 18:31:58,226 | INFO     | engine | Rephrased Question → Question needing DB.
2025-06-19 18:31:58,226 | INFO     | engine | Detected topic: db_fail_topic
2025-06-19 18:31:58,226 | ERROR    | engine | Error retrieving documents: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
2025-06-19 18:31:58,229 | INFO     | engine | Processing question for student student_g11
2025-06-19 18:31:58,229 | DEBUG    | engine | Original question: What is calculus?
2025-06-19 18:31:58,229 | DEBUG    | engine | History length: 0 words
2025-06-19 18:31:58,229 | INFO     | engine | Rephrased Question → Another calculus question.
2025-06-19 18:31:58,229 | INFO     | engine | Detected topic: calculus_topic_2
2025-06-19 18:31:58,229 | ERROR    | engine | Error retrieving documents: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
2025-06-19 18:31:58,230 | INFO     | engine | Processing question for student student_g10
2025-06-19 18:31:58,230 | DEBUG    | engine | Original question: What is calculus?
2025-06-19 18:31:58,230 | DEBUG    | engine | History length: 0 words
2025-06-19 18:31:58,230 | INFO     | engine | Rephrased Question → A basic math question.
2025-06-19 18:31:58,230 | INFO     | engine | Detected topic: basics
2025-06-19 18:31:58,230 | ERROR    | engine | Error retrieving documents: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
2025-06-19 18:31:58,235 | INFO     | engine | Processing question for student student_g11
2025-06-19 18:31:58,235 | DEBUG    | engine | Original question: What is calculus?
2025-06-19 18:31:58,235 | DEBUG    | engine | History length: 0 words
2025-06-19 18:31:58,235 | INFO     | engine | Rephrased Question → Question for empty index.
2025-06-19 18:31:58,235 | INFO     | engine | Detected topic: empty_index_topic
2025-06-19 18:31:58,236 | ERROR    | engine | Error retrieving documents: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
