2025-07-28 20:33:13,883 | INFO     | utilities.retrieval_utils_pinecone | Question classified under topic 'calculus': 'What does "integrals" mean?...' 
2025-07-28 20:33:15,154 | INFO     | utilities.retrieval_utils_pinecone | Retrieving chunks for topic 'calculus' at level 'eleven' with query: 'What does "integrals" mean?...'
2025-07-28 20:33:16,712 | INFO     | utilities.retrieval_utils_pinecone | Retrieved 3 chunks for topic 'calculus' at level 'eleven'
2025-07-28 20:33:16,721 | INFO     | utilities.retrieval_utils_pinecone | Retrieving chunks for topic 'calculus' from levels ['nine', 'ten'] with query: 'What does "integrals" mean?...'
2025-07-28 20:33:18,133 | INFO     | utilities.retrieval_utils_pinecone | Retrieved 0 total chunks for topic 'calculus' from levels ['nine', 'ten']
2025-07-28 20:34:45,257 | INFO     | utilities.retrieval_utils_pinecone | Question classified under topic 'basics of financial mathematics': 'A sum doubles at simple interest in 8 years. In ho...' 
2025-07-28 20:34:46,069 | INFO     | utilities.retrieval_utils_pinecone | Retrieving chunks for topic 'basics of financial mathematics' at level 'eleven' with query: 'A sum doubles at simple interest in 8 years. In ho...'
2025-07-28 20:34:47,307 | INFO     | utilities.retrieval_utils_pinecone | Retrieved 3 chunks for topic 'financial-math' at level 'eleven'
2025-07-28 20:34:47,316 | INFO     | utilities.retrieval_utils_pinecone | Retrieving chunks for topic 'basics of financial mathematics' from levels ['nine', 'ten'] with query: 'A sum doubles at simple interest in 8 years. In ho...'
2025-07-28 20:34:48,243 | INFO     | utilities.retrieval_utils_pinecone | Retrieved 0 total chunks for topic 'basics of financial mathematics' from levels ['nine', 'ten']
2025-07-28 20:35:07,402 | INFO     | utilities.retrieval_utils_pinecone | Question classified under topic 'basics of financial mathematics': 'If a sum doubles at simple interest in 8 years, in...' 
2025-07-28 20:35:11,083 | INFO     | utilities.retrieval_utils_pinecone | Retrieving chunks for topic 'basics of financial mathematics' at level 'twelve' with query: 'If a sum doubles at simple interest in 8 years, in...'
2025-07-28 20:35:14,263 | INFO     | utilities.retrieval_utils_pinecone | Retrieved 0 chunks for topic 'financial-math' at level 'twelve'
2025-07-28 20:35:14,273 | INFO     | utilities.retrieval_utils_pinecone | Retrieving chunks for topic 'basics of financial mathematics' from levels ['nine', 'ten', 'eleven'] with query: 'If a sum doubles at simple interest in 8 years, in...'
2025-07-28 20:35:15,390 | INFO     | utilities.retrieval_utils_pinecone | Retrieved 0 total chunks for topic 'basics of financial mathematics' from levels ['nine', 'ten', 'eleven']
2025-07-28 20:35:54,917 | INFO     | utilities.retrieval_utils_pinecone | Question classified under topic 'probability': 'If two cards are drawn without replacement from a ...' 
2025-07-28 20:35:55,711 | INFO     | utilities.retrieval_utils_pinecone | Retrieving chunks for topic 'probability' at level 'twelve' with query: 'If two cards are drawn without replacement from a ...'
2025-07-28 20:35:56,660 | INFO     | utilities.retrieval_utils_pinecone | Retrieved 3 chunks for topic 'probability' at level 'twelve'
2025-07-28 20:35:56,668 | INFO     | utilities.retrieval_utils_pinecone | Retrieving chunks for topic 'probability' from levels ['nine', 'ten', 'eleven'] with query: 'If two cards are drawn without replacement from a ...'
2025-07-28 20:35:58,674 | INFO     | utilities.retrieval_utils_pinecone | Retrieved 5 total chunks for topic 'probability' from levels ['nine', 'ten', 'eleven']
2025-07-28 20:37:25,290 | INFO     | utilities.retrieval_utils_pinecone | Question classified under topic 'probability': 'What is the probability that both cards are face c...' 
2025-07-28 20:37:26,773 | INFO     | utilities.retrieval_utils_pinecone | Retrieving chunks for topic 'probability' at level 'twelve' with query: 'What is the probability that both cards are face c...'
2025-07-28 20:37:27,697 | INFO     | utilities.retrieval_utils_pinecone | Retrieved 3 chunks for topic 'probability' at level 'twelve'
2025-07-28 20:37:27,704 | INFO     | utilities.retrieval_utils_pinecone | Retrieving chunks for topic 'probability' from levels ['nine', 'ten', 'eleven'] with query: 'What is the probability that both cards are face c...'
2025-07-28 20:37:28,806 | INFO     | utilities.retrieval_utils_pinecone | Retrieved 5 total chunks for topic 'probability' from levels ['nine', 'ten', 'eleven']
2025-07-28 20:38:59,457 | INFO     | utilities.retrieval_utils_pinecone | Question classified under topic 'basics of financial mathematics': 'A sum doubles at simple interest in 8 years. In ho...' 
2025-07-28 20:39:00,689 | INFO     | utilities.retrieval_utils_pinecone | Retrieving chunks for topic 'basics of financial mathematics' at level 'twelve' with query: 'A sum doubles at simple interest in 8 years. In ho...'
2025-07-28 20:39:01,639 | INFO     | utilities.retrieval_utils_pinecone | Retrieved 0 chunks for topic 'financial-math' at level 'twelve'
2025-07-28 20:39:01,647 | INFO     | utilities.retrieval_utils_pinecone | Retrieving chunks for topic 'basics of financial mathematics' from levels ['nine', 'ten', 'eleven'] with query: 'A sum doubles at simple interest in 8 years. In ho...'
