2025-07-04 17:06:24,751 | INFO     | utilities.student_utils | Getting confidence level for student 13 in topic geometry
2025-07-04 17:06:24,754 | INFO     | utilities.student_utils | Student 13 is at 4 level and A+ score for geometry
2025-07-04 17:13:34,644 | INFO     | utilities.student_utils | Getting confidence level for student 13 in topic geometry
2025-07-04 17:13:34,648 | INFO     | utilities.student_utils | Student 13 is at 4 level and A+ score for geometry
2025-07-04 17:17:38,974 | INFO     | utilities.student_utils | Getting confidence level for student 13 in topic geometry
2025-07-04 17:17:38,977 | INFO     | utilities.student_utils | Student 13 is at 4 level and A+ score for geometry
2025-07-04 17:19:57,664 | INFO     | utilities.student_utils | Getting confidence level for student 13 in topic geometry
2025-07-04 17:19:57,667 | INFO     | utilities.student_utils | Student 13 is at 4 level and A+ score for geometry
2025-07-04 17:20:50,960 | INFO     | utilities.student_utils | Getting confidence level for student 45 in topic geometry
2025-07-04 17:20:50,963 | INFO     | utilities.student_utils | Student 45 is at 1 level and C score for geometry
2025-07-04 17:21:41,352 | INFO     | utilities.student_utils | Getting confidence level for student 45 in topic geometry
2025-07-04 17:21:41,356 | INFO     | utilities.student_utils | Student 45 is at 1 level and C score for geometry
2025-07-04 18:37:30,485 | INFO     | utilities.student_utils | Getting confidence level for student 13 in topic geometry
2025-07-04 18:37:30,488 | INFO     | utilities.student_utils | Student 13 is at 4 level and A+ score for geometry
2025-07-04 18:38:11,071 | INFO     | utilities.student_utils | Getting confidence level for student 45 in topic geometry
2025-07-04 18:38:11,075 | INFO     | utilities.student_utils | Student 45 is at 1 level and C score for geometry
2025-07-04 18:39:55,211 | INFO     | utilities.student_utils | Getting confidence level for student 45 in topic geometry
2025-07-04 18:39:55,215 | INFO     | utilities.student_utils | Student 45 is at 1 level and C score for geometry
2025-07-04 18:51:18,217 | INFO     | utilities.student_utils | Getting confidence level for student 1 in topic mathematical reasoning
2025-07-04 18:51:18,222 | WARNING  | utilities.student_utils | Topic 'mathematical reasoning' not found as a column in /Users/wangyichi/Documents/Projects/math_tutor/database/student_data.csv. Student data columns: ['Student ID', 'Student Name', 'Current Class', 'Unnamed: 3', 'Score', 'Confidence Level [basics]', 'Confidence Level [algebra]', 'Confidence Level [geometry]', 'Confidence Level [miscellaneous]', 'Confidence Level [modelling]', 'Confidence Level [probability]', 'Confidence Level [statistics]', 'Confidence Level [Coordinate Geometry]', 'Confidence Level [Sets and Functions]']. Returning default level 1.
2025-07-04 18:52:05,406 | INFO     | utilities.student_utils | Getting confidence level for student 1 in topic algebra
2025-07-04 18:52:05,410 | INFO     | utilities.student_utils | Student 1 is at 1 level and A score for algebra
2025-07-04 18:52:39,923 | INFO     | utilities.student_utils | Getting confidence level for student 1 in topic mathematical reasoning
2025-07-04 18:52:39,926 | WARNING  | utilities.student_utils | Topic 'mathematical reasoning' not found as a column in /Users/wangyichi/Documents/Projects/math_tutor/database/student_data.csv. Student data columns: ['Student ID', 'Student Name', 'Current Class', 'Unnamed: 3', 'Score', 'Confidence Level [basics]', 'Confidence Level [algebra]', 'Confidence Level [geometry]', 'Confidence Level [miscellaneous]', 'Confidence Level [modelling]', 'Confidence Level [probability]', 'Confidence Level [statistics]', 'Confidence Level [Coordinate Geometry]', 'Confidence Level [Sets and Functions]']. Returning default level 1.
