2025-07-31 17:12:40,742 | INFO     | utilities.student_utils | Getting student level for student 67
2025-07-31 17:12:40,742 | INFO     | utilities.student_utils | Student 67 is in grade 11
2025-07-31 17:12:40,742 | INFO     | utilities.student_utils | Getting confidence level for student 67 in topic probability
2025-07-31 17:12:40,742 | INFO     | utilities.student_utils | Student 67 is at 2 level and B+ score for probability
2025-07-31 17:35:20,503 | INFO     | utilities.student_utils | Getting student level for student 67
2025-07-31 17:35:20,503 | INFO     | utilities.student_utils | Student 67 is in grade 11
2025-07-31 17:35:20,504 | INFO     | utilities.student_utils | Getting confidence level for student 67 in topic basics of financial mathematics
2025-07-31 17:35:20,504 | INFO     | utilities.student_utils | Student 67 is at 2 level and B+ score for basics of financial mathematics
2025-07-31 17:37:20,617 | INFO     | utilities.student_utils | Getting student level for student 67
2025-07-31 17:37:20,617 | INFO     | utilities.student_utils | Student 67 is in grade 11
2025-07-31 17:37:20,617 | INFO     | utilities.student_utils | Getting confidence level for student 67 in topic calculus
2025-07-31 17:37:20,618 | INFO     | utilities.student_utils | Student 67 is at 2 level and B+ score for calculus
2025-07-31 17:37:43,135 | INFO     | utilities.student_utils | Getting student level for student 67
2025-07-31 17:37:43,136 | INFO     | utilities.student_utils | Student 67 is in grade 11
2025-07-31 17:37:43,136 | INFO     | utilities.student_utils | Getting confidence level for student 67 in topic calculus
2025-07-31 17:37:43,136 | INFO     | utilities.student_utils | Student 67 is at 2 level and B+ score for calculus
2025-07-31 17:38:46,933 | INFO     | utilities.student_utils | Getting student level for student 67
2025-07-31 17:38:46,934 | INFO     | utilities.student_utils | Student 67 is in grade 11
2025-07-31 17:38:46,934 | INFO     | utilities.student_utils | Getting confidence level for student 67 in topic probability
2025-07-31 17:38:46,935 | INFO     | utilities.student_utils | Student 67 is at 2 level and B+ score for probability
